From Date,Dummy,CO,NO2,Ozone,PM10,PM2.5,SO2,AQI
2015-03-04,1,0.43,29.94,67.24,54.84,41.79,12.84,67.24
2015-04-04,1,6.17,54.56,23.91,112.65,71.03,21.14,112.65
2015-08-04,1,0.3,16.4,147.99,167.52,25.21,13.01,167.52
2015-09-04,1,2.03,62.37,67.27,196.2,91.29,16.76,196.2
2015-10-04,1,3.97,66.83,66.53,239.6,121.09,18.96,239.6
2015-11-04,1,6.65,59.68,33.63,158.2,61.89,18.03,158.2
2015-12-04,1,1.16,49.29,44.81,127.82,61.07,17.0,127.82
2015-04-13,1,1.17,44.15,50.89,105.83,59.23,15.71,105.83
2015-04-14,1,33.12,97.01,19.34,202.3,133.39,14.72,202.3
2015-04-15,1,17.81,56.35,29.99,130.22,68.27,15.6,130.22
2015-04-16,1,1.76,39.01,49.78,136.6,53.7,21.88,136.6
2015-04-17,1,2.0,60.77,61.18,259.84,181.28,23.17,259.84
2015-04-18,1,4.18,62.04,70.21,279.45,119.55,20.29,279.45
2015-04-19,1,4.18,68.84,57.15,413.32,140.02,16.71,413.32
2015-04-20,1,1.79,47.37,60.33,384.88,114.15,23.86,384.88
2015-04-21,1,1.89,59.64,74.96,286.09,97.56,28.28,286.09
2015-04-22,1,1.84,70.97,91.78,246.42,108.46,28.93,246.42
2015-04-23,1,10.84,100.26,80.37,314.33,150.3,28.45,314.33
2015-04-24,1,8.12,86.8,59.77,376.35,112.57,26.76,376.35
2015-04-25,1,6.29,24.79,100.48,271.91,65.99,27.77,271.91
2015-04-26,1,2.43,32.15,63.3,205.79,63.65,19.83,205.79
2015-04-27,1,1.02,30.15,87.85,178.74,72.44,18.77,178.74
2015-04-28,1,1.05,40.61,77.05,141.18,58.29,18.35,141.18
2015-04-29,1,1.02,77.88,95.69,171.69,63.9,20.5,171.69
2015-04-30,1,0.96,63.85,106.41,170.99,56.85,22.58,170.99
2015-01-05,1,1.54,106.08,93.41,152.48,63.47,31.77,152.48
2015-02-05,1,1.78,133.68,112.53,245.64,140.69,30.21,245.64
2015-03-05,1,1.31,126.67,98.71,224.45,105.74,28.61,224.45
2015-04-05,1,2.03,149.45,110.16,299.5,137.1,35.0,299.5
2015-05-05,1,9.83,140.94,78.43,390.41,152.31,36.14,390.41
2015-06-05,1,1.31,91.29,78.21,325.92,116.68,38.31,325.92
2015-07-05,1,1.14,64.84,69.26,307.11,93.28,45.8,307.11
2015-08-05,1,5.36,74.5,49.07,301.89,108.71,32.45,301.89
2015-09-05,1,10.1,26.79,94.58,252.28,104.08,32.98,252.28
